-2,-2.00904759712
-1.9,-2.00304732148
-1.8,-2.00070231357
-1.7,-2.00007005934
-1.6,-2.00000018189
-1.5,-2.00000629085
-1.4,-2.00021483628
-1.3,-2.00137823109
-1.2,-2.00495546368
-1.1,-2.01328067859
-1.0,-2.02986609059
-0.9,-2.05993312308
-0.8,-2.11136391029
-0.7,-2.19648801419
-0.6,-2.33567467007
-0.5,-2.56525518155
-0.4,-2.95735079785
-0.3,-3.67938356850
-0.2,-5.23215887835
-0.1,-10.11651954797
0.0,null
0.1,1496.68480931143
0.2,93.53863915180
0.3,15.30028311274
0.4,3.68824810355
0.5,1.04652644191
0.6,0.30519142876
0.7,0.08070999513
0.8,0.01597369024
0.9,0.00139238325
1.0,0E-11
1.1,-0.00073276243
1.2,-0.00435312876
1.3,-0.01100016947
1.4,-0.01960530094
1.5,-0.02881700397
1.6,-0.03739846983
1.7,-0.04438996577
1.8,-0.04915907103
1.9,-0.05139481254
2.0,-0.05107308647
